STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,DEATHS2019
01,000,Alabama,Alabama,4903185,53879
01,001,Alabama,Autauga County,55869,541
01,003,Alabama,Baldwin County,223234,2326
01,005,Alabama,Barbour County,24686,312
01,007,Alabama,Bibb County,22394,252
01,009,Alabama,Blount County,57826,657
01,011,Alabama,Bullock County,10101,109
01,013,Alabama,Butler County,19448,272
01,015,Alabama,Calhoun County,113605,1532
01,017,Alabama,Chambers County,33254,441
01,019,Alabama,Cherokee County,26196,343
01,021,Alabama,Chilton County,44428,503
01,023,Alabama,Choctaw County,12589,176
01,025,Alabama,Clarke County,23622,324
01,027,Alabama,Clay County,13235,187
01,029,Alabama,Cleburne County,14910,189
01,031,Alabama,Coffee County,52342,570
01,033,Alabama,Colbert County,55241,719
01,035,Alabama,Conecuh County,12067,182
01,037,Alabama,Coosa County,10663,122
01,039,Alabama,Covington County,37049,543
01,041,Alabama,Crenshaw County,13772,179
01,043,Alabama,Cullman County,83768,1050
01,045,Alabama,Dale County,49172,546
01,047,Alabama,Dallas County,37196,542
01,049,Alabama,DeKalb County,71513,819
01,051,Alabama,Elmore County,81209,821
01,053,Alabama,Escambia County,36633,474
01,055,Alabama,Etowah County,102268,1487
01,057,Alabama,Fayette County,16302,225
01,059,Alabama,Franklin County,31362,367
01,061,Alabama,Geneva County,26271,365
01,063,Alabama,Greene County,8111,93
01,065,Alabama,Hale County,14651,181
01,067,Alabama,Henry County,17205,213
01,069,Alabama,Houston County,105882,1137
01,071,Alabama,Jackson County,51626,675
01,073,Alabama,Jefferson County,658573,7343
01,075,Alabama,Lamar County,13805,172
01,077,Alabama,Lauderdale County,92729,1136
01,079,Alabama,Lawrence County,32924,428
01,081,Alabama,Lee County,164542,1133
01,083,Alabama,Limestone County,98915,864
01,085,Alabama,Lowndes County,9726,141
01,087,Alabama,Macon County,18068,264
01,089,Alabama,Madison County,372909,3305
01,091,Alabama,Marengo County,18863,276
01,093,Alabama,Marion County,29709,405
01,095,Alabama,Marshall County,96774,1155
01,097,Alabama,Mobile County,413210,4576
01,099,Alabama,Monroe County,20733,278
01,101,Alabama,Montgomery County,226486,2164
01,103,Alabama,Morgan County,119679,1316
01,105,Alabama,Perry County,8923,121
01,107,Alabama,Pickens County,19930,235
01,109,Alabama,Pike County,33114,339
01,111,Alabama,Randolph County,22722,285
01,113,Alabama,Russell County,57961,608
01,115,Alabama,St. Clair County,89512,975
01,117,Alabama,Shelby County,217702,1626
01,119,Alabama,Sumter County,12427,163
01,121,Alabama,Talladega County,79978,1044
01,123,Alabama,Tallapoosa County,40367,534
01,125,Alabama,Tuscaloosa County,209355,1872
01,127,Alabama,Walker County,63521,969
01,129,Alabama,Washington County,16326,191
01,131,Alabama,Wilcox County,10373,162
01,133,Alabama,Winston County,23629,325
02,000,Alaska,Alaska,731545,4819
02,013,Alaska,Aleutians East Borough,3337,9
02,016,Alaska,Aleutians West Census Area,5634,7
02,020,Alaska,Anchorage Municipality,288000,1847
02,050,Alaska,Bethel Census Area,18386,150
02,060,Alaska,Bristol Bay Borough,836,7
02,068,Alaska,Denali Borough,2097,9
02,070,Alaska,Dillingham Census Area,4916,42
02,090,Alaska,Fairbanks North Star Borough,96849,506
02,100,Alaska,Haines Borough,2530,7
02,105,Alaska,Hoonah-Angoon Census Area,2148,18
02,110,Alaska,Juneau City and Borough,31974,177
02,122,Alaska,Kenai Peninsula Borough,58708,541
02,130,Alaska,Ketchikan Gateway Borough,13901,88
02,150,Alaska,Kodiak Island Borough,12998,53
02,158,Alaska,Kusilvak Census Area,8314,103
02,164,Alaska,Lake and Peninsula Borough,1592,10
02,170,Alaska,Matanuska-Susitna Borough,108317,646
02,180,Alaska,Nome Census Area,10004,101
02,185,Alaska,North Slope Borough,9832,57
02,188,Alaska,Northwest Arctic Borough,7621,90
02,195,Alaska,Petersburg Borough,3266,29
02,198,Alaska,Prince of Wales-Hyder Census Area,6203,53
02,220,Alaska,Sitka City and Borough,8493,58
02,230,Alaska,Skagway Municipality,1183,14
02,240,Alaska,Southeast Fairbanks Census Area,6893,35
02,261,Alaska,Valdez-Cordova Census Area,9202,58
02,275,Alaska,Wrangell City and Borough,2502,34
02,282,Alaska,Yakutat City and Borough,579,1
02,290,Alaska,Yukon-Koyukuk Census Area,5230,69
04,000,Arizona,Arizona,7278717,60523
04,001,Arizona,Apache County,71887,702
04,003,Arizona,Cochise County,125922,1312
04,005,Arizona,Coconino County,143476,901
04,007,Arizona,Gila County,54018,811
04,009,Arizona,Graham County,38837,323
04,011,Arizona,Greenlee County,9498,49
04,012,Arizona,La Paz County,21108,310
04,013,Arizona,Maricopa County,4485414,33023
04,015,Arizona,Mohave County,212181,3375
04,017,Arizona,Navajo County,110924,1117
04,019,Arizona,Pima County,1047279,10199
04,021,Arizona,Pinal County,462789,3330
04,023,Arizona,Santa Cruz County,46498,316
04,025,Arizona,Yavapai County,235099,3042
04,027,Arizona,Yuma County,213787,1713
05,000,Arkansas,Arkansas,3017804,31322
05,001,Arkansas,Arkansas County,17486,216
05,003,Arkansas,Ashley County,19657,251
05,005,Arkansas,Baxter County,41932,695
05,007,Arkansas,Benton County,279141,1820
05,009,Arkansas,Boone County,37432,460
05,011,Arkansas,Bradley County,10763,130
05,013,Arkansas,Calhoun County,5189,48
05,015,Arkansas,Carroll County,28380,305
05,017,Arkansas,Chicot County,10118,150
05,019,Arkansas,Clark County,22320,241
05,021,Arkansas,Clay County,14551,197
05,023,Arkansas,Cleburne County,24919,385
05,025,Arkansas,Cleveland County,7956,88
05,027,Arkansas,Columbia County,23457,279
05,029,Arkansas,Conway County,20846,213
05,031,Arkansas,Craighead County,110332,1030
05,033,Arkansas,Crawford County,63257,658
05,035,Arkansas,Crittenden County,47955,534
05,037,Arkansas,Cross County,16419,207
05,039,Arkansas,Dallas County,7009,79
05,041,Arkansas,Desha County,11361,172
05,043,Arkansas,Drew County,18219,198
05,045,Arkansas,Faulkner County,126007,920
05,047,Arkansas,Franklin County,17715,190
05,049,Arkansas,Fulton County,12477,201
05,051,Arkansas,Garland County,99386,1347
05,053,Arkansas,Grant County,18265,188
05,055,Arkansas,Greene County,45325,505
05,057,Arkansas,Hempstead County,21532,233
05,059,Arkansas,Hot Spring County,33771,379
05,061,Arkansas,Howard County,13202,171
05,063,Arkansas,Independence County,37825,430
05,065,Arkansas,Izard County,13629,188
05,067,Arkansas,Jackson County,16719,206
05,069,Arkansas,Jefferson County,66824,827
05,071,Arkansas,Johnson County,26578,252
05,073,Arkansas,Lafayette County,6624,94
05,075,Arkansas,Lawrence County,16406,249
05,077,Arkansas,Lee County,8857,120
05,079,Arkansas,Lincoln County,13024,146
05,081,Arkansas,Little River County,12259,176
05,083,Arkansas,Logan County,21466,296
05,085,Arkansas,Lonoke County,73309,690
05,087,Arkansas,Madison County,16576,141
05,089,Arkansas,Marion County,16694,278
05,091,Arkansas,Miller County,43257,471
05,093,Arkansas,Mississippi County,40651,498
05,095,Arkansas,Monroe County,6701,114
05,097,Arkansas,Montgomery County,8986,148
05,099,Arkansas,Nevada County,8252,104
05,101,Arkansas,Newton County,7753,108
05,103,Arkansas,Ouachita County,23382,338
05,105,Arkansas,Perry County,10455,138
05,107,Arkansas,Phillips County,17782,255
05,109,Arkansas,Pike County,10718,130
05,111,Arkansas,Poinsett County,23528,334
05,113,Arkansas,Polk County,19964,286
05,115,Arkansas,Pope County,64072,593
05,117,Arkansas,Prairie County,8062,116
05,119,Arkansas,Pulaski County,391911,3795
05,121,Arkansas,Randolph County,17958,255
05,123,Arkansas,St. Francis County,24994,315
05,125,Arkansas,Saline County,122437,1100
05,127,Arkansas,Scott County,10281,117
05,129,Arkansas,Searcy County,7881,111
05,131,Arkansas,Sebastian County,127827,1276
05,133,Arkansas,Sevier County,17007,149
05,135,Arkansas,Sharp County,17442,240
05,137,Arkansas,Stone County,12506,166
05,139,Arkansas,Union County,38682,550
05,141,Arkansas,Van Buren County,16545,250
05,143,Arkansas,Washington County,239187,1599
05,145,Arkansas,White County,78753,837
05,147,Arkansas,Woodruff County,6320,102
05,149,Arkansas,Yell County,21341,244
06,000,California,California,39512223,282520
06,001,California,Alameda County,1671329,10944
06,003,California,Alpine County,1129,5
06,005,California,Amador County,39752,427
06,007,California,Butte County,219186,2527
06,009,California,Calaveras County,45905,528
06,011,California,Colusa County,21547,129
06,013,California,Contra Costa County,1153526,8478
06,015,California,Del Norte County,27812,255
06,017,California,El Dorado County,192843,1699
06,019,California,Fresno County,999101,7467
06,021,California,Glenn County,28393,251
06,023,California,Humboldt County,135558,1390
06,025,California,Imperial County,181215,1079
06,027,California,Inyo County,18039,172
06,029,California,Kern County,900202,6478
06,031,California,Kings County,152940,887
06,033,California,Lake County,64386,848
06,035,California,Lassen County,30573,202
06,037,California,Los Angeles County,10039107,68164
06,039,California,Madera County,157327,1060
06,041,California,Marin County,258826,1998
06,043,California,Mariposa County,17203,180
06,045,California,Mendocino County,86749,860
06,047,California,Merced County,277680,1787
06,049,California,Modoc County,8841,100
06,051,California,Mono County,14444,30
06,053,California,Monterey County,434061,2742
06,055,California,Napa County,137744,1279
06,057,California,Nevada County,99755,986
06,059,California,Orange County,3175692,21518
06,061,California,Placer County,398329,3480
06,063,California,Plumas County,18807,213
06,065,California,Riverside County,2470546,18148
06,067,California,Sacramento County,1552058,12368
06,069,California,San Benito County,62808,324
06,071,California,San Bernardino County,2180085,15223
06,073,California,San Diego County,3338330,23052
06,075,California,San Francisco County,881549,6359
